categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport
Scarpe Sportive,35.5,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white-warm white-sun struck,47.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-warm-white-sun-struck-pu115o0pg-a18.html?size=35.5,morphic,scarpe da corsa su strada
Scarpe Sportive,35.5,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white-warm white-sun struck,47.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-warm-white-sun-struck-pu115o0pg-a18.html?size=35.5,morphic,scarpe da corsa su strada
Scarpe Sportive,35.5,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white-warm white-sun struck,47.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-warm-white-sun-struck-pu115o0pg-a18.html?size=35.5,morphic,scarpe da corsa su strada
Scarpe Sportive,35.5,uomo,PUMA,PROSPECT UNISEX - Scarpe da allenamento - black/yellow alert/white,48.95,70.0,https://www.zalando.it/puma-prospect-unisex-scarpe-da-allenamento-blackyellow-alertwhite-pu144a0bz-q12.html?size=35.5,prospect unisex,scarpe da allenamento
Scarpe Sportive,35.5,uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black- white- black,63.95,80.0,https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-black-white-black-pu144a0cq-q13.html?size=35.5,pwr hybrid tr unisex,scarpe da allenamento
Scarpe Sportive,35.5,uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black- white- black,63.95,80.0,https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-black-white-black-pu144a0cq-q13.html?size=35.5,pwr hybrid tr unisex,scarpe da allenamento
Scarpe Sportive,35.5,uomo,UNDER ARMOUR,JET '23 - Scarpe da basket - black,60.0,60.0,https://www.zalando.it/under-armour-court-performance-ua-gs-jet-scarpe-da-basket-black-un243a04a-q11.html?size=35.5,jet '23,scarpe da basket
Scarpe Sportive,35.5,uomo,PUMA,ELIMINATE TURBO - Scarpe da pallamano - white/bluemazing,101.99,119.99,https://www.zalando.it/puma-eliminate-turbo-scarpe-da-pallamano-whitebluemazing-pu142a1u7-a11.html?size=35.5,eliminate turbo,scarpe da pallamano
Scarpe Sportive,35.5,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - black/white/lavender alert,43.95,55.0,https://www.zalando.it/puma-anzarun-scarpe-da-corsa-su-strada-black-white-lavender-alert-pu144a07j-q16.html?size=35.5,anzarun lite,scarpe da corsa su strada
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - white pinktastic,39.99,39.99,https://www.zalando.it/puma-popcat-ciabatte-da-mare-white-pinktastic-pu115i000-a14.html?size=35.5,popcat unisex,ciabatte da mare
Scarpe Sportive,35.5,uomo,PUMA,DARTER PRO - Scarpe da corsa su strada - black black cool dark gray,59.95,80.0,https://www.zalando.it/puma-scarpe-da-allenamento-black-black-cool-dark-gray-zzo32y902-q11.html?size=35.5,darter pro,scarpe da corsa su strada
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - black/white,25.0,25.0,https://www.zalando.it/puma-ciabattine-blackwhite-pu115i000-q11.html?size=35.5,popcat unisex,ciabatte da mare
Scarpe Sportive,35.5,uomo,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - black green moon,103.95,130.0,https://www.zalando.it/puma-nitro-2-scarpe-da-corsa-su-strada-black-green-moon-pu144a0c2-q14.html?size=35.5,pwr nitro sqd2,scarpe da corsa su strada
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - white-dark coal,23.0,23.0,https://www.zalando.it/puma-popcat-ciabatte-da-mare-white-dark-coal-pu115i000-a15.html?size=35.5,popcat unisex,ciabatte da mare
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - white-dark coal,23.0,23.0,https://www.zalando.it/puma-popcat-ciabatte-da-mare-white-dark-coal-pu115i000-a15.html?size=35.5,popcat unisex,ciabatte da mare
Scarpe Sportive,35.5,uomo,PUMA,NIGHT V3 - Scarpe da corsa su strada - black white,39.95,50.0,https://www.zalando.it/puma-scarpe-da-corsa-stabili-black-white-pu144a0ce-q11.html?size=35.5,night v3,scarpe da corsa su strada
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - inky blue- white,23.0,23.0,https://www.zalando.it/puma-popcat-ciabatte-da-mare-inky-blue-white-pu115i000-k13.html?size=35.5,popcat unisex,ciabatte da mare
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - inky blue- white,23.0,23.0,https://www.zalando.it/puma-popcat-ciabatte-da-mare-inky-blue-white-pu115i000-k13.html?size=35.5,popcat unisex,ciabatte da mare
Scarpe Sportive,35.5,uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - galactic gray/black/green glare,63.95,80.0,https://www.zalando.it/puma-pwr-hybrid-unisex-scarpe-da-allenamento-galactic-grayblackgreen-glare-pu144a0cq-c11.html?size=35.5,pwr hybrid tr unisex,scarpe da allenamento
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - white,22.0,25.0,https://www.zalando.it/puma-ciabattine-white-pu115i000-a11.html?size=35.5,popcat unisex,ciabatte da mare
Scarpe Sportive,36.0,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white silver team royal,55.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-team-royal-pu115o0pg-a21.html?size=36,morphic,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white silver red,55.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-red-pu115o0pg-a19.html?size=36,morphic,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black-yellow alert-pure magenta,52.95,70.0,https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-black-yellow-alert-pure-magenta-pu142a1y5-q11.html?size=36,scend pro 2,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black-yellow alert-pure magenta,52.95,70.0,https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-black-yellow-alert-pure-magenta-pu142a1y5-q11.html?size=36,scend pro 2,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black-yellow alert-pure magenta,52.95,70.0,https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-black-yellow-alert-pure-magenta-pu142a1y5-q11.html?size=36,scend pro 2,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - white,90.0,114.0,https://www.zalando.it/new-balance-480-unisex-sneakers-basse-white-ne215o05f-a12.html?size=36,480 unisex,scarpe da basket
Scarpe Sportive,36.0,uomo,PUMA,SKYROCKET LITE - Scarpe da trail running - black/cool dark gray,44.95,60.0,https://www.zalando.it/puma-skyrocket-lite-scarpe-da-trail-running-blackcool-dark-gray-pu142a1xo-q11.html?size=36,skyrocket lite,scarpe da trail running
Scarpe Sportive,36.0,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black/flat dark gray,52.95,70.0,https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-blackflat-dark-gray-pu142a1y5-q12.html?size=36,scend pro 2,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,NEW BALANCE,530 - Scarpe da corsa su strada - grey beige,120.0,120.0,https://www.zalando.it/new-balance-sneakers-basse-grey-beige-ne242a0o4-c11.html?size=36,530,scarpe da corsa su strada
Scarpe Sportive,36.0,uomo,PUMA,POUNCE LITE - Scarpe da trail running - gold black,38.95,55.0,https://www.zalando.it/puma-scarpe-running-neutre-gold-black-pu144a0ck-q11.html?size=36,pounce lite,scarpe da trail running
Scarpe Sportive,36.0,uomo,PUMA,SKYROCKET LITE - Scarpe da trail running - loden green black,41.95,60.0,https://www.zalando.it/puma-skyrocket-lite-scarpe-da-trail-running-loden-green-black-pu142a1xo-m11.html?size=36,skyrocket lite,scarpe da trail running
Scarpe Sportive,36.0,uomo,PUMA,CELL THRILL UNISEX - Scarpe da allenamento - for all time red/black,55.49,64.99,https://www.zalando.it/puma-cell-thrill-unisex-scarpe-da-allenamento-for-all-time-redblack-pu144a0by-g11.html?size=36,cell thrill unisex,scarpe da allenamento
Scarpe Sportive,36.0,uomo,NEW BALANCE,480 UNISEX - Scarpe da basket - prism purple,69.99,99.99,https://www.zalando.it/new-balance-480-unisex-sneakers-basse-prism-purple-ne215o05f-c11.html?size=36,480 unisex,scarpe da basket
Scarpe Sportive,36.0,uomo,PUMA,DISPERSE XT 4 UNISEX - Scarpe da allenamento - black/white,48.95,65.0,https://www.zalando.it/puma-disperse-xt-4-unisex-scarpe-da-allenamento-blackwhite-pu144a0cm-q11.html?size=36,disperse xt 4 unisex,scarpe da allenamento
Scarpe Sportive,36.0,uomo,UNDER ARMOUR,APPARITION - Scarpe da allenamento - black/metallic black/castlerock,129.99,129.99,https://www.zalando.it/under-armour-hovr-apparition-unisex-scarpe-da-allenamento-blackmetallic-blackcastlerock-un244a02c-q11.html?size=36,apparition,scarpe da allenamento
